Nama_Tanaman,Kecamatan,pH_Tanah,Suhu_C,Curah_Hujan_mm,Elevasi_mdpl,Ketersediaan_Air,Intensitas_Matahari_jam,Nama_Varietas,Kecamatan_Encoded,Nama_Tanaman_Encoded,Nama_Varietas_Encoded
Ketimun,Sawang,5.42,25.0,2200.0,381.0,2,6126.960694028188,Hercules F1,19,6,10
Ketimun,Nisam,5.6,26.5,1947.0,31.0,2,6260.940264934119,Hercules F1,14,6,10
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,2,6531.929958764356,Hercules F1,15,6,10
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,2,4782.049970056818,Hercules F1,2,6,10
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,2,6546.841915671623,Hercules F1,6,6,10
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,2,6529.369338072287,Hercules F1,21,6,10
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,1,613.0438090018905,Hercules F1,23,6,10
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,2,6534.342143515329,Hercules F1,5,6,10
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,1,6465.604140110678,Hercules F1,11,6,10
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,1,6664.206495020433,Hercules F1,10,6,10
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,1,6609.990728501922,Hercules F1,16,6,10
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,1,6649.062535244791,Hercules F1,17,6,10
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,1,6607.476077383149,Hercules F1,3,6,10
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,0,6328.60527414451,Hercules F1,24,6,10
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,1,6647.226653775745,Hercules F1,7,6,10
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,0,4279.258827435522,Hercules F1,20,6,10
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,0,6742.96132966782,Hercules F1,0,6,10
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,0,6735.472882415625,Hercules F1,1,6,10
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,0,6692.166862982599,Hercules F1,9,6,10
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,1,6589.066733734791,Hercules F1,25,6,10
Ketimun,Nibong,5.51,26.7,2127.0,17.0,0,6657.875043215222,Hercules F1,13,6,10
Ketimun,Samudera,5.7,26.7,1999.0,7.0,0,1269.349319014881,Hercules F1,18,6,10
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,0,2552.2023541894946,Hercules F1,22,6,10
Ketimun,Tanah Pasir,5.9,26.45,1979.0,5.0,0,0.0,Hercules F1,26,6,10
Ketimun,Lapang,6.05,27.1,2022.0,4.0,0,1720.9210209773937,Hercules F1,8,6,10
Ketimun,Muara Batu,5.71,26.45,1941.0,10.0,1,0.0,Hercules F1,12,6,10
Ketimun,Dewantara,5.72,26.45,1932.0,9.0,1,0.0,Hercules F1,4,6,10
Ketimun,Sawang,5.42,25.0,2200.0,381.0,2,6126.960694028188,Mercy F1,19,6,19
Ketimun,Nisam,5.6,26.5,1947.0,31.0,2,6260.940264934119,Mercy F1,14,6,19
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,2,6531.929958764356,Mercy F1,15,6,19
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,2,4782.049970056818,Mercy F1,2,6,19
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,2,6546.841915671623,Mercy F1,6,6,19
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,2,6529.369338072287,Mercy F1,21,6,19
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,1,613.0438090018905,Mercy F1,23,6,19
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,2,6534.342143515329,Mercy F1,5,6,19
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,1,6465.604140110678,Mercy F1,11,6,19
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,1,6664.206495020433,Mercy F1,10,6,19
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,1,6609.990728501922,Mercy F1,16,6,19
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,1,6649.062535244791,Mercy F1,17,6,19
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,1,6607.476077383149,Mercy F1,3,6,19
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,0,6328.60527414451,Mercy F1,24,6,19
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,1,6647.226653775745,Mercy F1,7,6,19
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,0,4279.258827435522,Mercy F1,20,6,19
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,0,6742.96132966782,Mercy F1,0,6,19
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,0,6735.472882415625,Mercy F1,1,6,19
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,0,6692.166862982599,Mercy F1,9,6,19
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,1,6589.066733734791,Mercy F1,25,6,19
Ketimun,Nibong,5.51,26.7,2127.0,17.0,0,6657.875043215222,Mercy F1,13,6,19
Ketimun,Samudera,5.7,26.7,1999.0,7.0,0,1269.349319014881,Mercy F1,18,6,19
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,0,2552.2023541894946,Mercy F1,22,6,19
Ketimun,Tanah Pasir,5.9,26.45,1979.0,5.0,0,0.0,Mercy F1,26,6,19
Ketimun,Lapang,6.05,27.1,2022.0,4.0,0,1720.9210209773937,Mercy F1,8,6,19
Ketimun,Muara Batu,5.71,26.45,1941.0,10.0,1,0.0,Mercy F1,12,6,19
Ketimun,Dewantara,5.72,26.45,1932.0,9.0,1,0.0,Mercy F1,4,6,19
Ketimun,Sawang,5.42,25.0,2200.0,381.0,2,6126.960694028188,Roman F1,19,6,23
Ketimun,Nisam,5.6,26.5,1947.0,31.0,2,6260.940264934119,Roman F1,14,6,23
Ketimun,Nisam Antara,5.47,25.2,2181.0,459.0,2,6531.929958764356,Roman F1,15,6,23
Ketimun,Banda Baro,5.62,26.4,1986.0,35.0,2,4782.049970056818,Roman F1,2,6,23
Ketimun,Kuta Makmur,5.67,26.3,2061.0,141.0,2,6546.841915671623,Roman F1,6,6,23
Ketimun,Simpang Keramat,5.59,26.1,2152.0,165.0,2,6529.369338072287,Roman F1,21,6,23
Ketimun,Syamtalira Bayu,5.59,26.4,1951.0,20.0,1,613.0438090018905,Roman F1,23,6,23
Ketimun,Geureudong Pase,5.4,24.2,2267.0,477.0,2,6534.342143515329,Roman F1,5,6,23
Ketimun,Meurah Mulia,5.54,26.6,2084.0,18.0,1,6465.604140110678,Roman F1,11,6,23
Ketimun,Matangkuli,5.45,26.7,2130.0,12.0,1,6664.206495020433,Roman F1,10,6,23
Ketimun,Paya Bakong,5.29,25.7,2263.0,81.0,1,6609.990728501922,Roman F1,16,6,23
Ketimun,Pirak Timu,5.15,26.3,2111.0,13.0,1,6649.062535244791,Roman F1,17,6,23
Ketimun,Cot Girek,5.17,25.6,2404.0,124.0,1,6607.476077383149,Roman F1,3,6,23
Ketimun,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,0,6328.60527414451,Roman F1,24,6,23
Ketimun,Langkahan,5.1,25.8,2429.0,71.0,1,6647.226653775745,Roman F1,7,6,23
Ketimun,Seunuddon,6.09,27.2,2056.0,4.0,0,4279.258827435522,Roman F1,20,6,23
Ketimun,Baktiya,5.37,27.0,2091.0,11.0,0,6742.96132966782,Roman F1,0,6,23
Ketimun,Baktiya Barat,5.77,27.1,2006.0,4.0,0,6735.472882415625,Roman F1,1,6,23
Ketimun,Lhoksukon,5.22,26.9,2091.0,12.0,0,6692.166862982599,Roman F1,9,6,23
Ketimun,Tanah Luas,5.49,25.2,2200.0,239.0,1,6589.066733734791,Roman F1,25,6,23
Ketimun,Nibong,5.51,26.7,2127.0,17.0,0,6657.875043215222,Roman F1,13,6,23
Ketimun,Samudera,5.7,26.7,1999.0,7.0,0,1269.349319014881,Roman F1,18,6,23
Ketimun,Syamtalira Aron,5.64,26.7,2000.0,5.0,0,2552.2023541894946,Roman F1,22,6,23
Ketimun,Tanah Pasir,5.9,26.45,1979.0,5.0,0,0.0,Roman F1,26,6,23
Ketimun,Lapang,6.05,27.1,2022.0,4.0,0,1720.9210209773937,Roman F1,8,6,23
Ketimun,Muara Batu,5.71,26.45,1941.0,10.0,1,0.0,Roman F1,12,6,23
Ketimun,Dewantara,5.72,26.45,1932.0,9.0,1,0.0,Roman F1,4,6,23
Kacang Panjang,Sawang,5.42,25.0,2200.0,381.0,2,6126.960694028188,Parade Tavi,19,4,21
Kacang Panjang,Nisam,5.6,26.5,1947.0,31.0,2,6260.940264934119,Parade Tavi,14,4,21
Kacang Panjang,Nisam Antara,5.47,25.2,2181.0,459.0,2,6531.929958764356,Parade Tavi,15,4,21
Kacang Panjang,Banda Baro,5.62,26.4,1986.0,35.0,2,4782.049970056818,Parade Tavi,2,4,21
Kacang Panjang,Kuta Makmur,5.67,26.3,2061.0,141.0,2,6546.841915671623,Parade Tavi,6,4,21
Kacang Panjang,Simpang Keramat,5.59,26.1,2152.0,165.0,2,6529.369338072287,Parade Tavi,21,4,21
Kacang Panjang,Syamtalira Bayu,5.59,26.4,1951.0,20.0,1,613.0438090018905,Parade Tavi,23,4,21
Kacang Panjang,Geureudong Pase,5.4,24.2,2267.0,477.0,2,6534.342143515329,Parade Tavi,5,4,21
Kacang Panjang,Meurah Mulia,5.54,26.6,2084.0,18.0,1,6465.604140110678,Parade Tavi,11,4,21
Kacang Panjang,Matangkuli,5.45,26.7,2130.0,12.0,1,6664.206495020433,Parade Tavi,10,4,21
Kacang Panjang,Paya Bakong,5.29,25.7,2263.0,81.0,1,6609.990728501922,Parade Tavi,16,4,21
Kacang Panjang,Pirak Timu,5.15,26.3,2111.0,13.0,1,6649.062535244791,Parade Tavi,17,4,21
Kacang Panjang,Cot Girek,5.17,25.6,2404.0,124.0,1,6607.476077383149,Parade Tavi,3,4,21
Kacang Panjang,Tanah Jambo Aye,5.31,27.0,2144.0,10.0,0,6328.60527414451,Parade Tavi,24,4,21
